Series;Product Image;Part Number;VzMin.(V);VzMax.(V);VzNom.(V);Izt(mA);Ptot(mW);Package (JEDEC®) Code;VzSpecification;AEC-Q101Qualified;Image path;Datasheet part;3d model part
AZ23 Series;Enlarge;AZ23C68;2.2;75;68.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23C75;2.2;75;75.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B2V2;2.2;75;2.2;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B2V4;2.2;75;2.4;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B2V7;2.2;75;2.7;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B3V0;2.2;75;3.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B3V3;2.2;75;3.3;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B3V6;2.2;75;3.6;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B3V9;2.2;75;3.9;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B4V3;2.2;75;4.3;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B4V7;2.2;75;4.7;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B5V1;2.2;75;5.1;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B5V6;2.2;75;5.6;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B6V2;2.2;75;6.2;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B6V8;2.2;75;6.8;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B7V5;2.2;75;7.5;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B8V2;2.2;75;8.2;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B9V1;2.2;75;9.1;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B10;2.2;75;10.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B11;2.2;75;11.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B12;2.2;75;12.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B13;2.2;75;13.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B15;2.2;75;15.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B16;2.2;75;16.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B18;2.2;75;18.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B20;2.2;75;20.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B22;2.2;75;22.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B24;2.2;75;24.0;5.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B27;2.2;75;27.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B30;2.2;75;30.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B33;2.2;75;33.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B36;2.2;75;36.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B39;2.2;75;39.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B43;2.2;75;43.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B47;2.2;75;47.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B51;2.2;75;51.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B56;2.2;75;56.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B62;2.2;75;62.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B68;2.2;75;68.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
AZ23 Series;Enlarge;AZ23B75;2.2;75;75.0;2.0;500;SOT-23;Pulse current;Yes;image/diodes/86340.png;Datasheet/diodes/zener-stabilizers/AZ23 Series/AZ23 Series.pdf;
